museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
929,"Museo Ferrocarrilero","Historia","2003-03-04","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Plaza de las Tres Centurias, Av. 28 de Agosto s/n","Barrio de La Estación","20059","449 994 27 61 y 62","","","mferrocarrilero@gmail.com","",-102.28093,21.88477,"http://sic.gob.mx/ficha.php?table=museo&table_id=929","2022-11-22 05:52:09-06"
1808,"Museo Escárcega","Arte","2015-05-21","Museo Escárcega, A.C.",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Ezequiel A. Chávez 311","Barrio de la Purísima","20000","449 918 67 30","https://museoeer.wixsite.com/muse/acerca-de-nosotros","","museoescarcega@hotmail.com","",-102.28575,21.88473,"http://sic.gob.mx/ficha.php?table=museo&table_id=1808","2022-09-26 07:34:38-05"
361,"Museo de la Fauna ","Ciencia y tecnología","1989-04-24","Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Blvd. José María Chávez s/n","Col. Ciudad Industrial","20290","449 688 10 87","http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html","","rquel.baccio@aguascalientes.gob.mx","",-102.29124,21.85177,"http://sic.gob.mx/ficha.php?table=museo&table_id=361","2022-12-02 04:28:25-06"
602,"Descubre. Museo Interactivo de Ciencia y Tecnología","Ciencia y tecnología","1996-11-20","Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. San Miguel s/n","Fracc. Jardines del Parque","20270","449 978 03 38 exts. 7129, 7115","http://www.aguascalientes.gob.mx/descubre/","","idscea.informa@gmail.com","descubreAGS",-102.28929,21.85596,"http://sic.gob.mx/ficha.php?table=museo&table_id=602","2023-06-09 06:38:38-06"
1069,"Museo del Juguete Tradicional Mexicano","Arte","1998-11-06","",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 224","Centro","20000","449 209 88 03","","","museodeljuguetetradicional@yahoo.com","",-102.29859,21.87922,"http://sic.gob.mx/ficha.php?table=museo&table_id=1069","2021-09-28 12:24:12-05"
217,"Museo de Arte Contemporáneo No. 8","Arte","1991-04-14","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Morelos s/n esq. Primo Verdad","Centro","20000","449 918 69 01","","","mac8ica@gmail.com","",-102.29489,21.88283,"http://sic.gob.mx/ficha.php?table=museo&table_id=217","2022-09-26 06:58:26-05"
219,"Museo Regional de Historia de Aguascalientes","Historia","1988-10-03","Secretaría de Cultura/INAH",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Venustiano Carranza 118","Centro","20000","449 916 5228","","","aguascalientes.mrh@inah.gob.mx","",-102.29895,21.8802,"http://sic.gob.mx/ficha.php?table=museo&table_id=219","2023-12-14 04:05:02-06"
1790,"Museo Espacio","Arte","2016-01-29","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Manuel Gómez Morín s/n, Ferrocarril Sur","Barrio de la Estación","20259","449 688 41 01","http://www.museoespacio.com.mx/","","museoespacioags@gmail.com","MuseoEspacio",-102.28127,21.89126,"http://sic.gob.mx/ficha.php?table=museo&table_id=1790","2023-10-06 04:50:05-06"
2020,"Museo de Sitio del Teatro Morelos","","1000-01-01","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Nieto 113, Plaza de la Patria de Aguascalientes","Zona Centro","20000","(449) 915 19 41","","","produccionagsica@gmail.com","",-102.29702,21.88021,"http://sic.gob.mx/ficha.php?table=museo&table_id=2020","2020-02-07 08:36:06-06"
223,"Museo de Aguascalientes","Arte","1975-10-22","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Zaragoza 505","Centro","20000","449  916 71 42","","","museoaguascalientes@gmail.com","",-102.29112,21.88581,"http://sic.gob.mx/ficha.php?table=museo&table_id=223","2023-10-17 07:04:49-06"
1046,"Museo José Guadalupe Posada","Arte","1972-09-16","Instituto Cultural de Aguascalientes ",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Jardín del Encino s/n lado Nte.","Barrio del Encino","20240","449  915 45 56","","","museoposada@gmail.com","",-102.29284,21.87526,"http://sic.gob.mx/ficha.php?table=museo&table_id=1046","2022-09-26 07:52:19-05"
1169,"Museo Nacional de la Muerte","Arte","2007-06-19","Universidad Autónoma de Aguascalientes",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Rivero y Gutiérrez esq. Morelos","Centro","20000","449 910 74 00 ext. 7208","http://museonacionaldelamuerte.uaa.mx","","japadill@correo.uua.mx","uaa_mx",-102.29551,21.88397,"http://sic.gob.mx/ficha.php?table=museo&table_id=1169","2022-09-12 06:07:13-05"
1453,"Museo de Sitio los Arquitos","Historia","1994-11-01","Instituto Cultural de Aguascalientes/Centro Cultural Los Arquitos",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Alameda y Héroe de Nacozari","Barrio La Purísima","20000","449 916 92 01","https://www.aguascalientes.gob.mx/temas/cultura/","","c.culturallosarquitos@gmail.com","",-102.28221,21.88298,"http://sic.gob.mx/ficha.php?table=museo&table_id=1453","2022-11-22 07:05:56-06"
2157,"Museo Nacional de los Pueblos Mágicos","","2019-09-12","Ayuntamiento de Calvillo/Secretaría de Turismo",1,"Aguascalientes",3,"Calvillo",1,"Calvillo","Av. Benito Juárez 312","Centro","20800","495 686 00 06","","","municipiodecalvillo@gmail.com","",-102.71875,21.84691,"http://sic.gob.mx/ficha.php?table=museo&table_id=2157","2023-03-24 03:02:07-06"
1047,"Museo Comunitario del Deporte e Historia","Especializado","1994-11-20"," Asociación Civil de Pabellonences, A.C.",1,"Aguascalientes",6,"Pabellón de Arteaga",1,"Pabellón de Arteaga","Av. 16 de Septiembre s/n esq. Irrigación","Centro","20660","465 117 30 12,","","","museocomunitariodeldeporteac@gmail.com","",-102.27521,22.14663,"http://sic.gob.mx/ficha.php?table=museo&table_id=1047","2021-06-07 03:57:44-05"
1048,"Museo de la Insurgencia","Historia","1964-10-17","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",7,"Rincón de Romos",30,"Pabellón de Hidalgo","Plaza 24 de Enero  núm. 19","Centro","20436","465 958 18 02","","","museodelainsurgencia@hotmail.com","",-102.34162,22.17491,"http://sic.gob.mx/ficha.php?table=museo&table_id=1048","2022-06-23 03:07:34-05"
620,"Caracol Museo de Ciencias ","Ciencia y tecnología","1998-05-04","Caracol Centro Científico y Cultural, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Club Rotario 3","Centro","22800","646 152 19 93","http://www.caracolbc.org/","","contacto@caracolbc.org","MuseoCaracol",-116.62031,31.85705,"http://sic.gob.mx/ficha.php?table=museo&table_id=620","2023-12-12 04:52:19-06"
600,"Museo de Historia de Ensenada","Arqueología","1993-05-20","Centro Social Cívico y Cultural Riviera, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Blvd. Lázaro Cárdenas 1421","Centro","22800","646 177 05 94","http://museoens.com/","","museoenelriviera@hotmail.com","",-116.61976,31.85859,"http://sic.gob.mx/ficha.php?table=museo&table_id=600","2022-09-21 05:32:51-05"
932,"Museo Histórico Regional de Ensenada","Historia","1995-05-15","Secretaría de Cultura/INAH",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Gastélum s/n","Centro","22800","646 178 36 92","","","mhre.inah@gmail.com","",-116.62813,31.8633,"http://sic.gob.mx/ficha.php?table=museo&table_id=932","2023-12-05 03:59:22-06"
1809,"Museo Katsuo","Ciencia y tecnología","2016-03-10","Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Carr. Transpeninsular Ensenada-Tijuana 3917","Col. Playitas","22860","646 174 45 70","","","museokatsuo@hotmail.com","KatsuoMuseo",-116.66712,31.86424,"http://sic.gob.mx/ficha.php?table=museo&table_id=1809","2023-05-16 03:21:06-06"
653,"Museo del Estero","Antropología","1987-04-01","Fundación Estero Beach, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Playas del Estero s/n","Ex- Ejido Chapultepec","22785","646 176 62 44","https://hotelesterobeach.com/resort/museo-de-historia-mexicana/","","linda.v@hotelesterobeach.com","",-116.61688,31.77738,"http://sic.gob.mx/ficha.php?table=museo&table_id=653","2023-05-16 03:09:18-06"
