museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_latitud,gmaps_longitud,link_sic,fecha_mod,aprox_loc
929,Museo Ferrocarrilero,Historia,3/4/2003,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Plaza de las Tres Centurias, Av. 28 de Agosto s/n",Barrio de La Estación,20059,449 994 27 61 y 62,,,mferrocarrilero@gmail.com,,21.88477,-102.28093,http://sic.gob.mx/ficha.php?table=museo&table_id=929,11/22/2022 05:52,
1808,Museo Escárcega,Arte,5/21/2015,"Museo Escárcega, A.C.",1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Ezequiel A. Chávez 311,Barrio de la Purísima,20000,449 918 67 30,https://museoeer.wixsite.com/muse/acerca-de-nosotros,,museoescarcega@hotmail.com,,21.88473,-102.28575,http://sic.gob.mx/ficha.php?table=museo&table_id=1808,9/26/2022 07:34,
361,Museo de la Fauna ,Ciencia y tecnología,4/24/1989,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Blvd. José María Chávez s/n,Col. Ciudad Industrial,20290,449 688 10 87,http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html,,rquel.baccio@aguascalientes.gob.mx,,21.85177,-102.29124,http://sic.gob.mx/ficha.php?table=museo&table_id=361,12/2/2022 04:28,
602,Descubre. Museo Interactivo de Ciencia y Tecnología,Ciencia y tecnología,11/20/1996,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Av. San Miguel s/n,Fracc. Jardines del Parque,20270,"449 978 03 38 exts. 7129, 7115",http://www.aguascalientes.gob.mx/descubre/,,idscea.informa@gmail.com,descubreAGS,21.85596,-102.28929,http://sic.gob.mx/ficha.php?table=museo&table_id=602,6/9/2023 06:38,
1069,Museo del Juguete Tradicional Mexicano,Arte,11/6/1998,,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Nieto 224,Centro,20000,449 209 88 03,,,museodeljuguetetradicional@yahoo.com,,21.87922,-102.29859,http://sic.gob.mx/ficha.php?table=museo&table_id=1069,9/28/2021 12:24,
217,Museo de Arte Contemporáneo No. 8,Arte,4/14/1991,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Morelos s/n esq. Primo Verdad,Centro,20000,449 918 69 01,,,mac8ica@gmail.com,,21.88283,-102.29489,http://sic.gob.mx/ficha.php?table=museo&table_id=217,9/26/2022 06:58,
219,Museo Regional de Historia de Aguascalientes,Historia,10/3/1988,Secretaría de Cultura/INAH,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Venustiano Carranza 118,Centro,20000,449 916 5228,,,aguascalientes.mrh@inah.gob.mx,,21.8802,-102.29895,http://sic.gob.mx/ficha.php?table=museo&table_id=219,12/14/2023 04:05,
1790,Museo Espacio,Arte,1/29/2016,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Manuel Gómez Morín s/n, Ferrocarril Sur",Barrio de la Estación,20259,449 688 41 01,http://www.museoespacio.com.mx/,,museoespacioags@gmail.com,MuseoEspacio,21.89126,-102.28127,http://sic.gob.mx/ficha.php?table=museo&table_id=1790,10/6/2023 04:50,
2020,Museo de Sitio del Teatro Morelos,,1000-01-01,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Nieto 113, Plaza de la Patria de Aguascalientes",Zona Centro,20000,(449) 915 19 41,,,produccionagsica@gmail.com,,21.88021,-102.29702,http://sic.gob.mx/ficha.php?table=museo&table_id=2020,2/7/2020 08:36,
223,Museo de Aguascalientes,Arte,10/22/1975,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,Zaragoza 505,Centro,20000,449  916 71 42,,,museoaguascalientes@gmail.com,,21.88581,-102.29112,http://sic.gob.mx/ficha.php?table=museo&table_id=223,10/17/2023 07:04,
