_id,museo_id,museo_tematica_n1,museo_nombre,museo_fecha_fundacion,museo_adscripcion,museo_tipo_de_propiedad,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
65a75f99df46a6e2e49c88c5,929,Historia,Museo Ferrocarrilero,2003-03-04,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,público,"Plaza de las Tres Centurias, Av. 28 de Agosto s/n",Barrio de La Estación,20059,449 994 27 61 y 62,,,mferrocarrilero@gmail.com,,21.88477,-102.28093,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=929,2022-11-22T05:52:09-06:00
65a75f99df46a6e2e49c88c6,1808,Arte,Museo Escárcega,2015-05-21,"Museo Escárcega, A.C.",privado,Ezequiel A. Chávez 311,Barrio de la Purísima,20000,449 918 67 30,https://museoeer.wixsite.com/muse/acerca-de-nosotros,,museoescarcega@hotmail.com,,21.88473,-102.28575,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1808,2022-09-26T07:34:38-05:00
65a75f99df46a6e2e49c88c7,361,Ciencia y tecnología,Museo de la Fauna ,1989-04-24,Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos,público,Blvd. José María Chávez s/n,Col. Ciudad Industrial,20290,449 688 10 87,http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html,,rquel.baccio@aguascalientes.gob.mx,,21.85177,-102.29124,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=361,2022-12-02T04:28:25-06:00
65a75f99df46a6e2e49c88c8,602,Ciencia y tecnología,Descubre. Museo Interactivo de Ciencia y Tecnología,1996-11-20,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),público,Av. San Miguel s/n,Fracc. Jardines del Parque,20270,"449 978 03 38 exts. 7129, 7115",http://www.aguascalientes.gob.mx/descubre/,,idscea.informa@gmail.com,descubreAGS,21.85596,-102.28929,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=602,2023-06-09T06:38:38-06:00
65a75f99df46a6e2e49c88c9,1069,Arte,Museo del Juguete Tradicional Mexicano,1998-11-06,,público,Nieto 224,Centro,20000,449 209 88 03,,,museodeljuguetetradicional@yahoo.com,,21.87922,-102.29859,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1069,2021-09-28T12:24:12-05:00
65a75f99df46a6e2e49c88ca,217,Arte,Museo de Arte Contemporáneo No. 8,1991-04-14,Instituto Cultural de Aguascalientes (ICA),público,Morelos s/n esq. Primo Verdad,Centro,20000,449 918 69 01,,,mac8ica@gmail.com,,21.88283,-102.29489,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=217,2022-09-26T06:58:26-05:00
65a75f99df46a6e2e49c88cb,219,Historia,Museo Regional de Historia de Aguascalientes,1988-10-03,Secretaría de Cultura/INAH,público,Venustiano Carranza 118,Centro,20000,449 916 5228,,,aguascalientes.mrh@inah.gob.mx,,21.8802,-102.29895,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=219,2023-12-14T04:05:02-06:00
65a75f99df46a6e2e49c88cc,1790,Arte,Museo Espacio,2016-01-29,Instituto Cultural de Aguascalientes (ICA),público,"Manuel Gómez Morín s/n, Ferrocarril Sur",Barrio de la Estación,20259,449 688 41 01,http://www.museoespacio.com.mx/,,museoespacioags@gmail.com,MuseoEspacio,21.89126,-102.28127,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=1790,2023-10-06T04:50:05-06:00
65a75f99df46a6e2e49c88cd,2020,TND,Museo de Sitio del Teatro Morelos,NA,Instituto Cultural de Aguascalientes (ICA),TPND,"Nieto 113, Plaza de la Patria de Aguascalientes",Zona Centro,20000,(449) 915 19 41,,,produccionagsica@gmail.com,,21.88021,-102.29702,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=2020,2020-02-07T08:36:06-06:00
65a75f99df46a6e2e49c88ce,223,Arte,Museo de Aguascalientes,1975-10-22,Instituto Cultural de Aguascalientes (ICA),público,Zaragoza 505,Centro,20000,449  916 71 42,,,museoaguascalientes@gmail.com,,21.88581,-102.29112,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=museo&table_id=223,2023-10-17T07:04:49-06:00
